Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
17:49:27.010,1,-94.8,-85,3.3,-9.8,-108.4
17:49:27.050,1,-93.9,-84.9,3.3,-9,-103.3
17:49:27.210,1,-92.9,-85.2,6.2,-7.6,-99.9
17:49:28.530,1,-95.9,-85.3,-2,-10.6,-114.6
17:49:30.518,2,-96.7,-82.8,10.8,-13.9,-103.4
17:49:30.778,2,-101.6,-85.8,15.3,-15.7,-105.6
17:49:30.858,2,-100,-85.2,12,-14.7,-109.4
17:49:31.510,2,-105.1,-86.5,9.2,-18.6,-109.1
17:49:31.880,2,-97.9,-85.6,12,-12.3,-102.9
17:49:32.228,2,-95.3,-83.4,9.5,-11.9,-103.8
17:49:32.678,1,-104.3,-85.7,12.2,-18.6,-109.7
17:49:34.378,2,-97.4,-85.8,8.5,-11.6,-107.1
17:49:35.098,2,-95.8,-82.6,12.5,-13.3,-98.6
17:49:35.900,2,-97.1,-84.7,7.5,-12.4,-101.6
17:49:36.138,2,-96,-82.6,9.5,-13.4,-100.4
17:49:36.198,2,-97.6,-84.9,9.2,-12.7,-104.6
17:49:37.000,2,-95.8,-82.7,5.5,-13.2,-98.9
17:49:37.140,2,-104.1,-84.8,5.5,-19.4,-109.7
17:49:37.150,2,-100.7,-82.9,7.5,-17.7,-110
17:49:37.180,2,-100.4,-83,8,-17.4,-108.4
17:49:37.190,2,-100.8,-83.3,7,-17.5,-111.3
17:49:37.630,2,-91.6,-80.3,8.7,-11.3,-102.2
17:49:37.650,2,-96.8,-82,8.5,-14.8,-103.1
17:49:37.680,2,-98.5,-82.5,9.5,-16,-104.6
17:49:37.690,2,-95.6,-81.8,8.5,-13.8,-101.5
17:49:37.720,2,-96.3,-82,5.5,-14.3,-109.3
17:49:38.058,2,-106.2,-81.1,5.7,-25.1,-116.5
17:49:38.408,2,-101.2,-83.4,0.2,-17.8,-106.6
17:49:38.458,2,-103.3,-81.9,-2.5,-21.4,-116.5
17:49:38.538,2,-96.6,-81.2,0.5,-15.3,-100
17:49:44.840,1,-90.6,-82,1.7,-8.6,-100.8
17:49:44.900,1,-87,-81.2,1.7,-5.8,-100.4
17:49:44.930,1,-89.1,-82.8,4.2,-6.2,-104.1
17:49:45.188,1,-99.9,-84.4,-4.5,-15.5,-104.1
17:49:45.270,1,-90.3,-80.2,7.2,-10.1,-99.3
17:49:46.098,1,-94.9,-80.7,4.9,-14.3,-111.8
17:49:46.710,1,-85.8,-78,-3.9,-7.8,-99.8
17:49:47.080,1,-93.6,-81.6,-1.8,-12,-97.2
17:49:47.668,1,-95.5,-82.1,6.1,-13.4,-103.6
17:49:48.438,1,-92.3,-80.1,12.7,-12.2,-102.6
17:49:49.500,2,-94.1,-84.3,11.2,-9.7,-98.2
17:49:49.580,2,-95.7,-83.7,8.2,-12,-101
17:49:49.880,2,-94,-81.9,7.8,-12.1,-96.3
17:49:50.240,2,-91.9,-78.7,-4.3,-13.2,-103.8
17:49:50.320,2,-89.8,-81.6,0.2,-8.2,-99.4
17:49:50.600,2,-91.3,-81.2,9.2,-10.2,-100.6
17:49:50.690,1,-86.6,-76,2.3,-10.6,-95.3
17:49:50.978,1,-91.3,-80.9,10,-10.4,-93.4
17:49:51.098,1,-88.4,-78.8,8.6,-9.6,-94
17:49:51.258,1,-94,-81.3,10.8,-12.7,-105.9
17:49:52.460,1,-88,-81.7,2.5,-6.4,-103.8
17:49:53.018,1,-87.3,-79.2,2.9,-8.1,-98.8
17:49:53.068,1,-86.6,-75.8,2.2,-10.8,-95.2
17:49:53.858,1,-85.9,-75.3,8.2,-10.6,-96.6
17:49:53.938,1,-91.1,-82.8,9.9,-8.4,-105.5
17:49:54.298,1,-86.2,-80.5,-4.3,-5.7,-100.3
17:49:54.550,1,-101.4,-86.4,-4.5,-15,-109.4
17:49:54.920,1,-83.4,-78.4,1.7,-5,-100.3
17:49:55.218,1,-89.7,-83.2,1.7,-6.5,-108.4
17:49:55.578,1,-86.9,-76.8,0.7,-10,-94.6
17:49:55.658,1,-88.5,-81.7,1.9,-6.9,-102.3
17:49:55.858,1,-93,-83.9,-1.5,-9.1,-109.5
17:49:56.060,1,-89.3,-79.1,-4.5,-10.2,-103.6
17:49:56.360,1,-84.8,-75.4,-1.5,-9.4,-95.6
17:49:56.780,1,-87.4,-80.6,2.2,-6.8,-99.9
17:49:57.338,1,-98.7,-85.4,5.9,-13.2,-106.4
17:49:57.378,1,-97.4,-81.4,-2.3,-16,-107
17:49:57.658,1,-90.9,-82.8,7.9,-8.1,-102.2
17:49:57.740,1,-98.2,-85.2,4.7,-12.9,-104.8
17:49:57.810,1,-96.6,-85.4,4.2,-11.2,-104.7
17:49:57.880,1,-92.5,-83,7.7,-9.5,-103.1
17:49:57.978,1,-96.7,-82.1,8.2,-14.6,-102.9
17:49:58.018,1,-92.9,-81.2,7.7,-11.7,-103.8
17:49:58.108,1,-89.6,-82.2,5.2,-7.3,-105.1
17:49:58.378,1,-90.1,-82.5,11.9,-7.6,-99.7
17:49:58.458,1,-93.8,-81.9,4.7,-11.9,-103.2
17:49:58.898,1,-97.6,-84.9,2.5,-12.7,-107.9
17:49:59.540,1,-96.1,-83.9,2.9,-12.2,-105.9
17:49:59.590,1,-98.4,-83.8,4.2,-14.6,-105.9
17:49:59.960,1,-98.7,-83.6,6.5,-15.1,-107.9
17:50:00.040,1,-95.3,-83.9,4.2,-11.4,-110.5
17:50:00.618,1,-88.7,-82,2.9,-6.7,-101.8
17:50:00.778,1,-93.1,-85.1,6.2,-8,-103.4
17:50:01.018,1,-91.6,-81.2,7.5,-10.4,-103.6
17:50:01.748,1,-94.4,-85.1,4.1,-9.4,-102
17:50:02.120,2,-93,-81.5,3.9,-11.5,-102.2
17:50:02.460,2,-93.9,-82.2,-1.8,-11.6,-104.1
17:50:02.520,2,-94.6,-82.6,0.9,-12.1,-106.2
17:50:02.830,2,-95.1,-85.5,-3.5,-9.6,-105.5
17:50:03.960,1,-92.4,-82.8,3.7,-9.6,-103.2
17:50:04.320,1,-93.8,-82.2,2.5,-11.6,-102.2
17:50:04.620,1,-93.7,-82.4,2.2,-11.3,-113.8
17:50:05.338,1,-94.1,-83.2,1.2,-10.9,-97.8
17:50:05.898,1,-91.8,-83.7,1.7,-8.2,-103
17:50:07.878,1,-93.9,-85.3,2.7,-8.6,-105.4
17:50:08.218,1,-94,-82.8,4.5,-11.2,-103.7
17:50:08.298,1,-93.8,-86.1,2.5,-7.7,-104.1
17:50:09.668,1,-93.6,-82.2,4.1,-11.4,-107.4
17:50:09.980,1,-93.8,-82.6,3.2,-11.2,-101.7
17:50:10.040,1,-94.3,-82.6,0.7,-11.7,-106.6
17:50:10.120,1,-94.3,-85.6,4.9,-8.7,-108.8
17:50:10.758,1,-95.1,-83.5,3.5,-11.6,-104.4
17:50:11.478,1,-93.9,-82.5,1.7,-11.4,-103.6
17:50:11.558,1,-93.6,-82.3,6.9,-11.3,-103.6
17:50:12.278,1,-93.4,-82,3.9,-11.4,-103.2
17:50:13.720,1,-95.3,-83.2,1.9,-12.1,-109.6
17:50:14.440,1,-96.7,-83.9,-1.3,-12.8,-106.6
17:50:14.458,1,-96.2,-83.6,3.9,-12.6,-105.6
17:50:15.078,1,-97.6,-84.1,1.2,-13.6,-114.9
17:50:15.378,1,-96.9,-85.2,3.5,-11.7,-103
17:50:15.800,1,-100.5,-86.8,12.9,-13.7,-108.6
17:50:16.600,2,-96.1,-86.9,3.7,-9.2,-105.7
17:50:16.860,2,-97.7,-85.3,3.5,-12.4,-102.8
17:50:16.940,2,-93.6,-83,4.6,-10.6,-103.3
17:50:17.138,2,-99.3,-85.3,7.9,-14,-107.5
17:50:17.960,1,-94.9,-83.2,8.7,-11.7,-107.4
17:50:18.040,1,-99.1,-83.3,7.5,-15.8,-106.6
17:50:18.458,1,-95.6,-82.8,10.2,-12.8,-104.5
17:50:18.538,1,-103.3,-86.2,10.5,-17.1,-103.1
17:50:18.618,1,-106.9,-87.9,9.5,-19,-114.7
17:50:18.970,2,-100.6,-87,5.5,-13.6,-104.3
17:50:19.020,2,-102.2,-87.9,9.2,-14.2,-108.6
17:50:19.750,2,-96.8,-85.5,10.6,-11.3,-104.1
17:50:19.780,2,-96.8,-86.1,9.2,-10.8,-108.3
17:50:19.880,2,-96.9,-85.3,13,-11.5,-105.9
