Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
15:27:21.090,1,-94.7,-83.9,4,-10.8,-108.9
15:27:24.068,2,-99.2,-83.5,13.2,-15.7,-100.4
15:27:24.438,2,-97.4,-83.3,9,-14,-106
15:27:25.460,2,-97.1,-83.2,10,-13.8,-101.8
15:27:25.580,2,-96,-83.6,8.1,-12.4,-108.1
15:27:25.930,2,-101.8,-86.7,3.7,-15.1,-105.5
15:27:26.498,1,-102.6,-85.2,2,-17.5,-116.9
15:27:30.920,2,-95.3,-82.4,7.5,-12.9,-101.6
15:27:31.160,2,-99.9,-83.2,8.5,-16.6,-101.3
15:27:31.170,2,-99.1,-82.3,7,-16.7,-104.9
15:27:31.268,2,-94.2,-80.2,-3.5,-13.9,-94.7
15:27:38.910,1,-90.3,-83.7,1.2,-6.6,-101.4
15:27:38.920,1,-90.1,-83.8,6.9,-6.4,-108.1
15:27:39.498,1,-92.6,-84.3,-0.1,-8.3,-105.5
15:27:39.738,1,-98.2,-83.1,8.2,-15.1,-102.5
15:27:40.630,1,-87.9,-76.1,-9.5,-11.9,-99
15:27:41.000,1,-87.5,-76.1,-5.5,-11.4,-102.3
15:27:41.350,1,-94,-81.6,-1.5,-12.4,-109.5
15:27:41.420,1,-90.4,-79.8,3.5,-10.7,-100.7
15:27:41.578,1,-92.3,-81.5,8.5,-10.8,-101.2
15:27:41.618,1,-96.7,-81.4,7.4,-15.3,-102.7
15:27:41.798,1,-89.4,-77.4,6.5,-12,-97.7
15:27:42.058,1,-95.7,-81.2,11.7,-14.5,-103
15:27:43.338,2,-95.3,-82.9,8.5,-12.3,-100.7
15:27:44.650,1,-91.6,-80.6,1.6,-11.1,-101.8
15:27:44.950,1,-92.1,-80.1,0.5,-12,-101.6
15:27:45.058,1,-89.9,-78,6,-11.9,-100
15:27:45.670,1,-87.4,-80.1,0.7,-7.4,-103.1
15:27:45.750,1,-88.3,-79.1,-2.9,-9.2,-102.9
15:27:47.618,1,-91.1,-80.1,2.2,-11,-98.9
15:27:48.138,1,-87,-81.2,0.7,-5.9,-104.6
15:27:48.620,1,-92.3,-78.7,-0.3,-13.7,-106.4
15:27:49.018,1,-88.8,-78.8,3.7,-10,-93.9
15:27:49.178,1,-93.6,-85.8,1.7,-7.9,-105.7
15:27:49.990,1,-93.8,-81.8,-0.8,-12,-109.9
15:27:50.440,1,-92.2,-84.4,1.9,-7.8,-105.5
