RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-94.7,-83.9,4.0,-108.9,-104.6498027543534
-99.2,-83.5,13.2,-100.4,-104.56082298091536
-97.4,-83.3,9.0,-106.0,-104.50377892975239
-97.1,-83.2,10.0,-101.8,-104.1150069725334
-96.0,-83.6,8.1,-108.1,-104.23219600764925
-101.8,-86.7,3.7,-105.5,-109.37800981841586
-102.6,-85.2,2.0,-116.9,-109.25084538623656
-95.3,-82.4,7.5,-101.6,-103.3861632685675
-99.9,-83.2,8.5,-101.3,-105.6525115148865
-99.1,-82.3,7.0,-104.9,-105.10834636925381
-94.2,-80.2,-3.5,-94.7,-103.91168481653551
-90.3,-83.7,1.2,-101.4,-103.1636360074101
-90.1,-83.8,6.9,-108.1,-101.98121782165434
-92.6,-84.3,-0.1,-105.5,-104.76936719562319
-98.2,-83.1,8.2,-102.5,-104.90824043833788
-87.9,-76.1,-9.5,-99.0,-100.09331371469924
-87.5,-76.1,-5.5,-102.3,-99.11051978886178
-94.0,-81.6,-1.5,-109.5,-104.18819232690836
-90.4,-79.8,3.5,-100.7,-100.60493524653529
-92.3,-81.5,8.5,-101.2,-101.36757614595814
-96.7,-81.4,7.4,-102.7,-103.47538085736481
-89.4,-77.4,6.5,-97.7,-98.24265108682155
-95.7,-81.2,11.7,-103.0,-102.05774075276732
-95.3,-82.9,8.5,-100.7,-103.45882796283169
-91.6,-80.6,1.6,-101.8,-101.95609185648063
-92.1,-80.1,0.5,-101.6,-102.12414374314744
-89.9,-78.0,6.0,-100.0,-98.8931043462135
-87.4,-80.1,0.7,-103.1,-100.01058219086772
-88.3,-79.1,-2.9,-102.9,-100.5847960507579
-91.1,-80.1,2.2,-98.9,-101.34033022627553
-87.0,-81.2,0.7,-104.6,-100.43748939311924
-92.3,-78.7,-0.3,-106.4,-101.60573194876663
-88.8,-78.8,3.7,-93.9,-99.31032942074866
-93.6,-85.8,1.7,-105.7,-105.67038134361766
-93.8,-81.8,-0.8,-109.9,-104.06855897737326
-92.2,-84.4,1.9,-105.5,-104.24459739598649
-83.7,-78.2,2.2,-100.6,-97.03391737454432
-88.1,-77.5,-1.5,-103.9,-99.3367461175099
-90.2,-80.9,0.9,-103.2,-101.64419155370952
-96.8,-83.0,4.9,-108.7,-104.90106480616734
-89.9,-79.0,9.5,-96.6,-98.73605337973191
-92.6,-85.0,7.2,-102.3,-103.68173503788725
-94.1,-81.8,3.7,-109.4,-103.2937526467016
-96.8,-85.2,4.2,-104.3,-106.24888266796353
-94.4,-84.6,3.9,-102.3,-104.92157894697499
-93.3,-82.1,2.9,-102.2,-103.26668050298088
-93.7,-85.8,2.5,-109.8,-105.55322339906508
-93.5,-82.4,1.1,-105.3,-103.88231104379409
-91.5,-84.8,2.5,-107.9,-104.03426548523004
-93.4,-82.2,1.5,-106.8,-103.64786406529704
-97.2,-85.9,0.9,-109.6,-107.4745179981088
-94.6,-83.1,1.5,-103.1,-104.67085587841727
-94.0,-82.7,6.5,-106.4,-103.17885061491776
-97.8,-84.6,-0.5,-105.3,-107.30835497773037
-95.9,-83.8,0.5,-107.4,-105.82984553395522
-98.3,-85.2,-0.3,-108.4,-107.81769740478435
-97.3,-87.2,0.5,-102.4,-108.31231849133493
-97.5,-84.9,4.1,-108.0,-106.41327144657083
-96.2,-84.5,0.2,-112.7,-106.4066085759612
-98.5,-88.2,5.5,-109.7,-108.3822261072762
-103.7,-88.2,5.2,-109.9,-110.73650424048692
-102.2,-86.5,8.7,-108.8,-108.43682097515199
-94.4,-84.3,6.2,-107.4,-104.2933781107306
-96.8,-85.2,10.5,-105.0,-104.97888517692176
-98.3,-84.2,7.3,-101.8,-105.73713374419235
-99.5,-83.7,6.2,-102.6,-106.21396667769497
-96.9,-86.2,12.8,-102.5,-105.10785007256753
-96.4,-86.3,9.1,-104.3,-105.68801404384924
-100.9,-84.1,4.5,-105.8,-107.39362778512778
-95.8,-83.8,11.0,-98.8,-103.6690714707662
-100.5,-84.4,13.2,-100.0,-105.627926372155
-98.0,-84.4,15.0,-106.5,-104.1622804931581
-101.1,-85.3,11.2,-106.8,-106.78942252323877
-97.3,-85.1,7.1,-109.7,-105.8299882193538
